,name,mfcc_mean,mfcc_var,zero_crossings_mean,zero_crossings_var,chroma_mean,chroma_var,tempo,rolloff_mean,rolloff_var,centroids_mean,centroids_var,bandwidth_mean,bandwidth_var,contrast_mean,contrast_var,harm_mean,harm_var,perc_mean,perc_var,label
0,신난다(It's Fun_Shinnanda) (Feat. 마마무(MAMAMOO)) - 싹쓰리 비룡 (Color Coded Lyrics Eng_Rom_Han_가사) [zipTw9bjNgk].wav,-1.8743678,1149.3942,0.1236704459561602,0.1083760667531647,0.34375447,0.09321904,95.703125,5357.959267819998,3557941.520751457,2632.903027490458,933801.6257029388,2504.404582766105,300845.3673383868,20.27031259592535,40.52826863269548,2.064323e-05,0.026460618,5.489482e-05,0.014205109,dance
0,"[MV] 싹쓰리 (유두래곤, 린다G, 비룡) _ Beach Again(다시 여기 바닷가) [JAy88PDxMIM].wav",-0.67298836,2446.912,0.1426984126984126,0.1223355757117661,0.5394588,0.077408835,129.19921875,6014.971961620791,1662161.753418113,2808.0372945698023,423649.0506424498,2657.9667407562106,149153.84666356028,17.502296479620934,44.23755512162308,8.503001e-06,0.036221683,-1.4325269e-05,0.018486127,dance
0,SOMI (전소미) 'What You Waiting For' lyrics (Color Coded Lyrics Eng_Rom_Han_가사) [v65iG3jy2Jc].wav,-5.771137,2712.648,0.121371126228269,0.1066401759463506,0.32481134,0.10162081,123.046875,5881.08110457382,5328829.338012329,2928.4020545315525,1593194.0050683117,2707.7647872616017,265216.7733736774,21.49411140401353,51.26891093258425,8.8077795e-06,0.024229463,3.301652e-05,0.012024799,dance
0,KYT (코요태) - The Sea (바다) Lyrics_가사 (HAN_ROM) [9pXL6GHaQRc].wav,5.066575,880.8429,0.1532728647014361,0.1297802936476514,0.50026095,0.08300297,83.35433467741936,7169.106649392898,1868383.1572725629,3477.457416380805,1102562.693293552,2967.0821850072043,120270.67725808494,18.35287070464833,42.63168413935211,-3.576009e-05,0.08408079,7.023532e-05,0.024595667,dance
0,[놀면 뭐하니] 싹쓰리 (유두래곤X린다GX비룡) - 다시 여기 바닷가 _ 가사 [avYHTo9AVjE].wav,6.697044,917.632,0.1282721088435374,0.111818374936369,0.4401191,0.078056216,129.19921875,5977.480521659733,2425252.477627012,2817.2200911484765,594262.5930142389,2654.1067266924897,281728.5201993244,19.061935195657043,45.90982349682799,-2.473422e-05,0.055113185,-3.6002806e-05,0.023587318,dance
0,"[LYRICS] 싹쓰리(유두래곤, 린다G, 비룡) Feat. 황광희 - 여름 안에서 [R_JzW4GoA74].wav",-9.95973,2909.068,0.1465185185185185,0.125050842249657,0.45909297,0.09462961,107.666015625,5182.826993487568,2478815.254782038,2592.963386136788,695673.9142605425,2378.546437554987,234115.74830243384,18.226512271695256,45.36683141187551,-1.2980171e-06,0.005334306,4.421088e-05,0.0049094325,dance
0,(G)I-DLE(여자아이들) 'i'M THE TREND' lyrics (Color Coded Lyrics Eng_Rom_Han_가사) [V4p8He3vP40].wav,-1.1099733,1456.5631,0.1138941798941799,0.100922295680412,0.32366848,0.0890151,143.5546875,5394.225715188419,4913295.878306041,2684.4124398962185,1268779.2160459724,2558.7393595328413,418310.3226393648,20.495053524314866,37.175115659424215,-1.6021655e-05,0.06065269,2.8428352e-05,0.020257233,dance
0,CHUNGHA- 'PLAY' (Feat Changmo) Lyrics [Color Coded_Han_Rom_Eng] [1Uvel7qiN2E].wav,2.2934933,1806.225,0.0901798941798941,0.0820474808655972,0.344014,0.094335064,103.359375,4516.45602294166,5430210.579709401,2140.567307955195,1102422.7620444074,2189.734316067701,756266.1503433636,20.31372321216779,43.01316080355596,0.00014067013,0.041262966,-6.667322e-05,0.025644805,dance
0,SF9 – 'SUMMER BREEZE' (여름 향기가 날 춤추게 해) Lyrics [Color Coded_Han_Rom_Eng] [XRy5bdgpWc8].wav,2.893343,1063.9678,0.1241058201058201,0.1087035655216819,0.3328946,0.110041566,123.046875,5588.949537720105,3571896.528163461,2684.829890947511,685268.4055394183,2561.5581488193693,301282.7535979153,19.98839706282667,45.85890992004203,2.5914504e-05,0.0501119,1.895267e-05,0.009699982,dance
0,SUNMI (선미)- 'pporappippam' (보라빛 밤) Lyrics [Color Coded_Han_Rom_Eng] [vqE5kJygNjc].wav,-1.8299444,2550.6682,0.0685593348450491,0.0638589524506535,0.32660285,0.09640065,117.45383522727272,3201.5889737628195,2787223.261079831,1578.8975938235435,394579.7377491759,1906.9840045412989,416516.356507382,22.02437243272571,34.72322605362156,5.312732e-05,0.026896067,0.00014511147,0.00910095,dance
